kod;d [mm];Ew [mm];B [mm];C [kN];C0 [kN];n max [obr/min]
N204W;20;40;14;15,4;12,7;18000
N304W;20;44,5;15;21,4;17,3;14000
N205M;25;45;15;18,8;17;15000
N205W;25;45;15;17,7;15,7;16000
N305M;25;53;17;31,5;27,7;12000
N305W;25;53;17;29,3;25,2;12000
N405W;25;62,8;21;46,5;40;9500
N1006;30;48,5;13;19,7;19,6;13000
N206M;30;53,5;16;24,9;23,3;13000
N206W;30;53,5;16;24,9;23,3;13000
N306M;30;62;19;41,5;38,5;10000
N306W;30;62;19;38,5;35;10000
N406M;30;73;23;62,5;55;8500
N406W;30;73;23;62,5;55;8500
N1007;35;55;14;22,6;23,2;11000
N207M;35;61,8;17;35,5;34;11000
N207W;35;61,8;17;35,5;34;11000
N307M;35;68,2;21;49,5;47;9500
N307W;35;68,2;21;49,5;47;9500
N407W;35;83;25;75,5;69;7500
N1008;40;61;15;27,3;29;10000
N208M;40;70;18;46;46;9500
N208W;40;70;18;43,5;43;9500
N308M;40;77,5;23;58,5;57;8500
N308W;40;77,5;23;58,5;57;8500
N408W;40;92;27;95,5;89;6700
N1009;45;67,5;16;32,5;35,5;9500
N209M;45;75;19;46;47;9000
N209W;45;75;19;46;47;9000
N309M;45;86,5;25;79;77,5;7500
N309W;45;86,5;25;79;77,5;7500
N409W;45;100,5;29;107;102;6300
N1010;50;72,5;16;32;36;8500
N210M;50;80,4;20;50,5;54,5;8500
N210W;50;80,4;20;48;51;8500
N310M;50;95;27;87;86;7100
N310W;50;95;27;87;86;7100
N410M;50;110,8;31;139;136;5600
N410W;50;110,8;31;139;136;5600
N1011;55;80,5;18;37,5;44;8000
N211M;55;88,5;21;61;66,5;7500
N211W;55;88,5;21;58;62,5;7500
N311M;55;104,5;29;111;111;6300
N311W;55;104,5;29;111;111;6300
N411W;55;117,2;33;139;138;5300
N1012;60;85,5;18;40;48,5;7500
N212M;60;97,5;22;72;80;6700
N212W;60;97,5;22;68,5;75;7100
N312M;60;113;31;124;126;6000
N312W;60;113;31;124;126;6000
N412M;60;127;35;167;168;5000
N412W;60;127;35;167;168;5000
