Kod;d [mm];D [mm];B [mm];C [kN];C0 [kN];n max [obr/min];elementy toczne
N203;17;40;12;20;14,3;20000;wałeczki
N303;17;47;14;28,5;20,4;17000;wałeczki
N204;20;47;14;28,5;22;17000;wałeczki
N304;20;52;15;35,5;26;15000;wałeczki
N1005;25;47;12;15,1;14,1;16000;wałeczki
N405;25;80;21;46,5;40;8500;wałeczki
N1006;30;55;13;19,7;19,6;14000;wałeczki
N406;30;90;23;62,5;55;7300;wałeczki
N1007;35;62;14;22,6;23,2;12000;wałeczki
N407;35;100;25;75,5;69;6400;wałeczki
N1008;40;68;15;27,3;29;11000;wałeczki
N208;40;80;18;43,5;43;9400;wałeczki
N2208;40;80;23;58;62;8500;wałeczki
N308;40;90;23;58,5;57;8000;wałeczki
N2308;40;90;33;82,5;88;7000;wałeczki
N408;40;110;27;95,5;89;5700;wałeczki
N1009;45;75;16;31;34;9900;wałeczki
N209;45;85;19;46;47;8400;wałeczki
N2209;45;85;23;61,5;68;7600;wałeczki
N309;45;100;25;74;71;7200;wałeczki
N2309;45;100;36;99;104;6300;wałeczki
N409;45;120;29;107;102;5100;wałeczki
N1010;50;80;16;32;36;8900;wałeczki
N210;50;90;20;48;51;7600;wałeczki
N2210;50;90;23;64;73,5;6900;wałeczki
N310;50;110;27;87;86;6500;wałeczki
N2310;50;110;40;121;131;5700;wałeczki
N410;50;130;31;129;124;4700;wałeczki
N1011;55;90;18;37,5;44;8200;wałeczki
N211;55;100;21;58;62,5;6900;wałeczki
N2211;55;100;25;75,5;87;6300;wałeczki
N311;55;120;29;111;111;5900;wałeczki
N2311;55;120;43;148;162;5200;wałeczki
N411;55;140;33;139;138;4300;wałeczki
N1012;60;95;18;40;48,5;7500;wałeczki
N212;60;110;22;68,5;75;6400;wałeczki
N2212;60;110;28;96;116;5800;wałeczki
N312;60;130;31;124;126;5500;wałeczki
N2312;60;130;46;169;188;4800;wałeczki
N412;60;150;35;167;168;3900;wałeczki
N1013;65;100;18;41;51;7000;wałeczki
N213;65;120;23;84;94,5;5900;wałeczki
N2213;65;120;31;120;149;5400;wałeczki
N313;65;140;33;135;139;5100;wałeczki
N2313;65;140;48;188;212;4400;wałeczki
N413;65;160;37;182;186;3600;wałeczki
N1014;70;110;20;58,5;70,5;6500;wałeczki
N214;70;125;24;83,5;95;5500;wałeczki
N2214;70;125;31;119;151;5000;wałeczki
N314;70;150;35;158;168;4700;wałeczki
N2314;70;150;51;223;262;4100;wałeczki
N414;70;180;42;228;236;3400;wałeczki
