Kod;Dw [mm];Dz [mm];B [mm];E [mm];C [kN];C0 [kN];n max [obr/min];elementy toczne
N204W ;20;47;14;40;15,4;12,7;18000;igiełki
N304W ;20;52;15;44,5;21,4;17,3;14000;igiełki
N205M ;25;52;15;45;18,8;17;15000;igiełki
N205W ;25;52;15;45;17,7;15,7;16000;igiełki
N305M ;25;62;17;53;31,5;27,7;12000;igiełki
N305W ;25;62;17;53;29,3;25,2;12000;igiełki
N405W ;25;80;21;62,8;46,5;40;9500;igiełki
N1006 ;30;55;13;48,5;19,7;19,6;13000;igiełki
N206M ;30;62;16;53,5;24,9;23,3;13000;igiełki
N206W ;30;62;16;53,5;24,9;23,3;13000;igiełki
N306M ;30;72;19;62;41,5;38,5;10000;igiełki
N306W ;30;72;19;62;38,5;35;10000;igiełki
N406M ;30;90;23;73;62,5;55;8500;igiełki
N406W ;30;90;23;73;62,5;55;8500;igiełki
N1007 ;35;62;14;55;22,6;23,2;11000;igiełki
N207M ;35;72;17;61,8;35,5;34;11000;igiełki
N207W ;35;72;17;61,8;35,5;34;11000;igiełki
N307M ;35;80;21;68,2;49,5;47;9500;igiełki
N307W ;35;80;21;68,2;49,5;47;9500;igiełki
N407W ;35;100;25;83;75,5;69;7500;igiełki
N1008 ;40;68;15;61;27,3;29;10000;igiełki
N208M ;40;80;18;70;46;46;9500;igiełki
N208W ;40;80;18;70;43,5;43;9500;igiełki
N308M ;40;90;23;77,5;58,5;57;8500;igiełki
N308W ;40;90;23;77,5;58,5;57;8500;igiełki
N408W ;40;110;27;92;95,5;89;6700;igiełki
N1009 ;45;75;16;67,5;32,5;35,5;9500;igiełki
N209M ;45;85;19;75;46;47;9000;igiełki
N209W ;45;85;19;75;46;47;9000;igiełki
N309M ;45;100;25;86,5;79;77,5;7500;igiełki
N309W ;45;100;25;86,5;79;77,5;7500;igiełki
N409W ;45;120;29;100,5;107;102;6300;igiełki
N1010 ;50;80;16;72,5;32;36;8500;igiełki
N210M ;50;90;20;80,4;50,5;54,5;8500;igiełki
N210W ;50;90;20;80,4;48;51;8500;igiełki
N310M ;50;110;27;95;87;86;7100;igiełki
N310W ;50;110;27;95;87;86;7100;igiełki
N410M ;50;130;31;110,8;139;136;5600;igiełki
N410W ;50;130;31;110,8;139;136;5600;igiełki
N1011 ;55;90;18;80,5;37,5;44;8000;igiełki
N211M ;55;100;21;88,5;61;66,5;7500;igiełki
N211W ;55;100;21;88,5;58;62,5;7500;igiełki
N311M ;55;120;29;104,5;111;111;6300;igiełki
N311W ;55;120;29;104,5;111;111;6300;igiełki
N411W ;55;140;33;117,2;139;138;5300;igiełki
N1012 ;60;95;18;85,5;40;48,5;7500;igiełki
N212M ;60;110;22;97,5;72;80;6700;igiełki
N212W ;60;110;22;97,5;68,5;75;7100;igiełki
N312M ;60;130;31;113;124;126;6000;igiełki
N312W ;60;130;31;113;124;126;6000;igiełki
N412M ;60;150;35;127;167;168;5000;igiełki
N412W ;60;150;35;127;167;168;5000;igiełki
