Kod;Dw [mm];Dz [mm];B [mm];C [kN];C0 [kN];n max [obr/min];elementy toczne
RSL183003-XL-RV;13;27,15;13;18,4;16,1;17,6;wałeczki
RSL1830/17-XL-RV;17;27,15;14;23,4;19,6;15,8;wałeczki
RSL183004-XL-RV;20;36,81;16;30,5;26;11,4;wałeczki
RSL183005-XL-RV;25;42,51;16;35;32;9,5;wałeczki
RSL183006-XL-RV;30;49,6;19;45;42;8,1;wałeczki
RSL183007-XL-RV;35;55,52;20;55;53;7,1;wałeczki
RSL183008-XL-RV;40;61,74;21;66;67;6,3;wałeczki
RSL183009-XL-RV;45;66,85;23;70;74;5,8;wałeczki
RSL183010-XL-RV;50;72,33;23;88;94;5,3;wałeczki
RSL183011-XL-RV;55;83,54;26;120;136;4,55;wałeczki
RSL183012-XL-RV;60;86,74;26;123;143;4,35;wałeczki
