Kod;d [mm];D mm];B [mm];C [kN];C0 [kN];n max [obr/min];elementy toczne
16002;15;32;8;5,85;2,85;32000;kulki
6002;15;32;9;5,85;2,85;32000;kulki
61802;15;24;5;1,9;1,1;38000;kulki
61902;15;28;7;4,36;2,24;34000;kulki
6202;15;35;11;8,06;3,75;28000;kulki
6302;15;42;13;11,9;5,4;24000;kulki
16003;17;35;8;6,37;3,25;28000;kulki
6003;17;35;10;6,37;3,25;28000;kulki
61803;17;26;5;2,03;1,27;34000;kulki
61903;17;30;7;4,62;2,55;32000;kulki
6203;17;40;12;9,95;4,75;24000;kulki
6303;17;47;14;14,3;6,55;22000;kulki
16004;20;42;8;7,28;4,05;24000;kulki
6004;20;42;12;9,95;5;24000;kulki
61804;20;32;7;4,03;2,32;28000;kulki
61904;20;37;9;6,37;3,65;26000;kulki
6204;20;47;14;13,5;6,55;20000;kulki
6304;20;52;15;16,8;7,8;19000;kulki
16005;25;47;8;8,06;4,75;20000;kulki
6005;25;47;12;11,9;6,55;20000;kulki
61805;25;37;7;4,36;2,6;24000;kulki
61905;25;42;9;7,02;4,3;22000;kulki
6205;25;52;15;14,8;7,8;18000;kulki
6305;25;62;17;23,4;11,6;16000;kulki
16006;30;55;9;11,9;7,35;17000;kulki
6006;30;55;13;13,8;8,3;17000;kulki
61806;30;42;7;4,1;2,9;20000;kulki
61906;30;47;9;7,28;4,55;19000;kulki
6206;30;62;16;20,3;11,2;15000;kulki
6306;30;72;19;29,6;16;13000;kulki
16007;35;62;9;13;8,15;15000;kulki
6007;35;62;14;16,8;10,2;15000;kulki
61807;35;47;7;4,36;3,35;18000;kulki
61907;35;55;10;10,8;7,8;16000;kulki
6207;35;72;17;27;15,3;13000;kulki
6307;35;80;21;35,1;19;12000;kulki
16008;40;68;9;13,8;10,2;14000;kulki
6008;40;68;15;17,8;11;14000;kulki
61808;40;52;7;4,49;3,75;16000;kulki
61908;40;62;12;13,8;10;14000;kulki
6208;40;80;18;32,5;19;11000;kulki
6308;40;90;23;42,3;24;11000;kulki
16009;45;75;10;16,5;10,8;12000;kulki
6009;45;75;16;22,1;14,6;12000;kulki
61809;45;58;7;6,63;6,1;14000;kulki
61909;45;68;12;14;10,8;13000;kulki
6209;45;85;19;35,1;21,6;11000;kulki
6309;45;100;25;55,3;31,5;9500;kulki
16010;50;80;10;16,8;11,4;11000;kulki
6010;50;80;16;22,9;16;11000;kulki
61810;50;65;7;6,76;6,8;13000;kulki
61910;50;72;12;14,6;11,8;12000;kulki
6210;50;90;20;37,1;23,2;10000;kulki
6310;50;110;27;65;38;13000;kulki
